politician_name,trades,win_rate,avg,median,sharpe
Dave McCormick,9.0,1.0,0.034514613355245784,0.0439034255664225,3.0939434042020446
Sheldon Whitehouse,2.0,1.0,0.02723272660632025,0.02723272660632025,1.6141235775457616
Hal Rogers,3.0,1.0,0.0277321705327154,0.0276639418131003,1.150235356908155
Brandon Gill,6.0,0.6666666666666666,0.008054307323477198,0.0129127654765569,0.9234335551094255
Ashley Moody,4.0,0.75,0.09417632437460755,0.10383203202710045,0.8878573111664323
Rick Larsen,2.0,1.0,0.02975188780979315,0.02975188780979315,0.8073498747555651
Tim Moore,39.0,0.7435897435897436,0.03614865560312425,0.0224151202498572,0.7289308648515871
Kelly Morrison,14.0,0.6428571428571429,0.02078602778942215,0.029913782869870897,0.7078278852999319
Pete Sessions,2.0,0.5,0.0036067583146044534,0.0036067583146044534,0.6998673253796805
Dwight Evans,11.0,0.7272727272727273,0.038484219307820984,0.0176367213483819,0.6828080176027944
David Taylor,5.0,0.8,0.01914769935653614,0.0142541683714571,0.6749253094682953
Bruce Westerman,176.0,0.7102272727272727,0.027974359432590242,0.02958457264956975,0.6648467843483068
Adam Smith,12.0,0.6666666666666666,0.022248801063002744,0.00776452723226545,0.5963696732853571
Jefferson Shreve,344.0,0.7122093023255814,0.01714855598973566,0.0143515011969499,0.5852770654378873
Shelley Moore Capito,13.0,0.7692307692307693,0.01153014971151517,0.0077443317168727,0.5429714160854046
April McClain Delaney,46.0,0.6956521739130435,0.02586707305821865,0.03886272407152025,0.5336382900081121
George  Whitesides,28.0,0.6785714285714286,0.01252090371529896,0.00711274999714135,0.5302540728789914
Cleo Fields,18.0,0.8888888888888888,0.05805760675564012,0.0009835324501368,0.34907178020090524
Marjorie Taylor Greene,59.0,0.559322033898305,0.021602187464247066,0.0117340877480356,0.3467650714448459
Rick Allen,5.0,0.6,0.0133650163239169,0.0347576343637345,0.28802310287956173
Debbie Wasserman Schultz,5.0,0.4,0.04533016559990978,-0.0319278553230807,0.2611910783525796
James Comer,7.0,0.8571428571428571,0.008933679825167415,0.0151558951361245,0.2560660012584525
Rob Bresnahan,282.0,0.6134751773049646,0.010782529764897422,0.0115827940076939,0.2120639747505143
Jared Moskowitz,50.0,0.74,0.004848833508677169,0.009582501389343901,0.1894433859485315
Scott Franklin,40.0,0.725,0.00476747528205036,0.00941085047157265,0.15669118130955875
Jonathan Jackson,10.0,0.3,0.00329305482526372,-0.0024139444186196497,0.15032242533824863
John Boozman,32.0,0.5,0.004286434490829147,0.0002172402276719,0.1469043546250547
Greg Landsman,2.0,0.5,0.00336827986408585,0.00336827986408585,0.07697042053438626
Byron Donalds,94.0,0.6170212765957447,0.0016959315397880959,0.00912259372011,0.032637318693565766
Virginia Foxx,5.0,0.6,0.0004506030553000598,0.0063728608200992,0.02604178870986844
Lisa McClain,574.0,0.5052264808362369,-0.0006389181882372561,0.000359811443432,-0.032841793910778905
Thomas Kean Jr,19.0,0.5263157894736842,-0.0015986546476785806,0.002898196631188,-0.039400538302133935
Gil Cisneros,110.0,0.42727272727272725,-0.0028401544729902196,-0.0104709250495447,-0.04688804003180108
Michael McCaul,272.0,0.41911764705882354,-0.0027035438045200765,-0.0067193519195796,-0.07157991963123884
Markwayne Mullin,102.0,0.38235294117647056,-0.003326689794210437,-0.0065601507796291,-0.10047200277193974
Dan Newhouse,38.0,0.34210526315789475,-0.008115443665941713,-0.00908254023524105,-0.24981003799551052
Austin Scott,20.0,0.25,-0.00936573446451138,-0.0121186248797232,-0.25319641677716126
Ro Khanna,1556.0,0.3226221079691517,-0.010148958733977089,-0.0117775702626354,-0.2715362383756235
Laurel Lee,2.0,0.5,-0.016841775978039403,-0.016841775978039403,-0.32148725378610016
Julie Johnson,156.0,0.28205128205128205,-0.012952258796700793,-0.012158959511835151,-0.4136776521255822
Josh Gottheimer,140.0,0.32142857142857145,-0.0137425946064362,-0.01275335286358175,-0.4860889577877171
Tony Wied,7.0,0.42857142857142855,-0.009918033293079,-0.0016994562450851,-0.5902509997080565
Lloyd Doggett,6.0,0.16666666666666666,-0.014784623544898701,-0.0179011332748446,-0.6194346097734977
Tommy Tuberville,12.0,0.25,-0.016647432811508527,-0.0195758223907816,-0.7214427447691115
Cliff Bentz,2.0,0.0,-0.00865395288958335,-0.00865395288958335,-0.7925509525679643
John Hickenlooper,30.0,0.1,-0.021779698835835363,-0.0409999830845421,-0.8644414543534876
August Pfluger,3.0,0.0,-0.0587863367912635,-0.02676477564894,-1.0599204461099316
Chuck Fleischmann,20.0,0.05,-0.017755382166827684,-0.016517122146562452,-1.110794574204689
French Hill,9.0,0.0,-0.07458929707174969,-0.0513075545971958,-1.3919879734517755
John McGuire,2.0,0.0,-0.0296527082005702,-0.0296527082005702,
Ron Wyden,2.0,1.0,0.0104352918453928,0.0104352918453928,
Bill Hagerty,1.0,0.0,-0.0258890771744951,-0.0258890771744951,
Bob Latta,1.0,0.0,-0.0132156280949724,-0.0132156280949724,
Dave Min,1.0,1.0,0.0389810300058052,0.0389810300058052,
Gerry Connolly,1.0,0.0,-0.0417470023094954,-0.0417470023094954,
Jake Auchincloss,1.0,0.0,-0.0114883973580093,-0.0114883973580093,
Jim Banks,1.0,0.0,-0.0144286063058035,-0.0144286063058035,
John Neely Kennedy,1.0,1.0,0.0176045837677438,0.0176045837677438,
Mike Kennedy,1.0,1.0,0.0126318776444264,0.0126318776444264,
Mitch McConnell,1.0,0.0,-0.0323588563616891,-0.0323588563616891,
Neal Dunn,1.0,0.0,-0.0302641065985412,-0.0302641065985412,
Richard Blumenthal,1.0,0.0,-0.0224285850524902,-0.0224285850524902,
Victoria Spartz,1.0,1.0,0.0224126994913477,0.0224126994913477,
