trade_size_vs_market_cap_bin,trades,win_rate,avg,median,sharpe
0,442.0,0.4592760180995475,-0.0013478662208330642,-0.002285979538136,-0.04132906539103334
1,460.0,0.46956521739130436,0.001995701512677672,-0.00403778882063615,0.057707714507947296
2,424.0,0.4221698113207547,-0.0038512167543485083,-0.0037239654136243003,-0.10525594072060192
3,446.0,0.5112107623318386,-0.00019739510439790704,0.0012957075954398,-0.005056387438563499
4,444.0,0.4864864864864865,0.00043788617931764424,-0.0006516832592525,0.013172681043568382
5,438.0,0.4657534246575342,0.004742203928749269,-0.0016994562450851,0.10766909829645692
6,439.0,0.44646924829157175,-0.001966930331363173,-0.0030004457983732,-0.051452417166268645
7,442.0,0.4276018099547511,-0.0028895555158627607,-0.00298569542816695,-0.08443799315433563
8,442.0,0.41855203619909503,-0.004835122955481192,-0.0063600452820835,-0.10145306566277942
9,442.0,0.46153846153846156,0.003196425661729058,-0.00320226552403895,0.05289188579538716
