volume_spike_ratio_bin,trades,win_rate,avg,median,sharpe
0,1084.0,0.45940959409594095,0.00132378797835968,-0.0029963222536401,0.02654970364391302
1,542.0,0.4870848708487085,0.001403810832868905,-0.0012798974691376,0.03421550959295338
2,541.0,0.5341959334565619,0.0026402488617681273,0.0010780215082912,0.07430073225904867
3,542.0,0.4483394833948339,-0.002197427360082658,-0.0031788428750431,-0.05786956297743111
4,542.0,0.522140221402214,0.005189892127157606,0.00237180374883875,0.13347593320290296
5,541.0,0.4879852125693161,0.0001534095118009562,-0.0005991088793674,0.0036491023689816113
6,542.0,0.4225092250922509,-0.0028501439444948724,-0.0033570202316897,-0.07055576519096766
7,542.0,0.46863468634686345,-0.0011409789111986783,-0.0025628128463483,-0.03124587898311028
8,542.0,0.35239852398523985,-0.009888427766231212,-0.012157452323246,-0.2535557054666909
