Ticker,Price Change 7d,Volume Spike Ratio,Market Cap,PE Ratio,Beta
AAPL,8.99,0.49,3136516259840,32.659393,1.211
TSLA,-32.32,1.01,945126244352,169.61272,2.461
NVDA,3.35,0.52,3862147366912,50.921288,2.122
MSFT,-0.97,0.32,3690107502592,38.427246,1.026
AMZN,6.07,0.47,2369580433408,36.35179,1.334
APLD,-0.9,0.65,2176427008,,5.87
LCID,-0.12,0.65,6359792128,,0.817
NVDA,3.37,0.52,3862629974016,50.927654,2.122
F,0.93,0.46,45949034496,9.244,1.509
CLF,0.93,0.55,4142744064,,1.852
PLTR,-5.81,0.56,326705676288,601.9126,2.638
BTG,0.01,0.69,4863601664,,0.512
TSLA,-32.36,1.01,945158488064,169.6185,2.461
PSLV,0.08,0.46,6601815552,4.1215134,
BBD,0.02,0.39,29662484480,9.7709675,0.401
QBTS,2.54,0.6,5188630528,,1.48
INTC,-0.44,0.59,96203907072,,1.113
SOFI,2.2,0.66,20974206976,44.127907,1.827
BPMC,0.09,0.54,8292457472,,0.833
AAL,0.38,0.91,7587685888,11.505,1.38
NU,-0.11,0.32,64116408320,30.204546,1.045
AG,0.1,0.74,4142164736,,1.084
NGD,0.07,0.73,3956845056,27.777777,0.874
WBD,-0.03,0.41,27499288576,,1.517
RIG,0.03,1.02,2353890560,,2.53
HIMS,0.95,0.44,10572010496,69.45867,2.097
MARA,1.11,0.65,5762821120,,6.628
NIO,-0.01,0.62,7406315520,,1.575
TEM,-9.59,0.61,10170564608,,
RIOT,0.88,0.45,4069129728,,4.542
