Company,Ticker
"Lucid Group, Inc.",LCID
"Tesla, Inc.",TSLA
NVIDIA Corporation,NVDA
"Core Scientific, Inc.",CORZ
"SoFi Technologies, Inc.",SOFI
Palantir Technologies Inc.,PLTR
Ford Motor Company,F
Intel Corporation,INTC
IREN Limited,IREN
"Robinhood Markets, Inc.",HOOD
American Airlines Group Inc.,AAL
"Rigetti Computing, Inc.",RGTI
"SoundHound AI, Inc.",SOUN
Sandstorm Gold Ltd.,SAND
Transocean Ltd.,RIG
Apple Inc.,AAPL
"MARA Holdings, Inc.",MARA
B2Gold Corp.,BTG
Carnival Corporation & plc,CCL
Nu Holdings Ltd.,NU
D-Wave Quantum Inc.,QBTS
"IonQ, Inc.",IONQ
"Advanced Micro Devices, Inc.",AMD
Grab Holdings Limited,GRAB
Rocket Lab Corporation,RKLB
